open,high,low,close,volume,market_cap,timestamp,date,rsi,stoch_osc,stoch_osc_signal,adx,adx_pos,adx_neg,ema,ema_200,ichimoku_a,ichimoku_b,ichimoku_base_line,ichimoku_conversion_line,macd,macd_diff,macd_signal,sma,sma_200,bollinger_hband,bollinger_hband_indicator,bollinger_lband,bollinger_lband_indicator,bollinger_mavg,bollinger_pband,bollinger_wband,chaikin,mfi,obv
10385.0,11052.2998046875,10352.7001953125,10951.0,7317279744.0,185009753075.0,2018-03-01T23:59:59.999Z,2018-03-01,55.03225606418494,60.512501554919766,54.30401824068871,18.07026604174214,23.228201801787094,20.33113973710835,10305.694598044365,9109.123319392187,9708.079833984375,10772.8798828125,9003.3798828125,10412.77978515625,88.22278155504682,136.60491644436308,-48.38213488931626,10531.635811941964,8780.130510253906,11869.497144291558,0.0,8268.571068599069,0.0,10069.034106445313,0.7449275200366554,35.76237837338828,0.125896355144966,58.02275371331119,143475141360.0
10977.400390625,11189.0,10850.099609375,11086.400390625,7620590080.0,187318996197.0,2018-03-02T23:59:59.999Z,2018-03-02,55.922682051644074,65.81932310754304,55.14678496523134,17.428811412060586,23.70992207461286,19.758669991392964,10409.788703721782,9128.797718110922,9650.704833984375,10533.52978515625,9003.3798828125,10298.02978515625,140.25438642664994,150.90921705277296,-10.654830626123022,10592.52866908482,8813.936862792969,11915.365946166768,0.0,8469.152266723855,0.0,10192.259106445312,0.7594561357333558,33.812068977559846,0.15674041756798657,58.39416138763869,151095731440.0
11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,6690570240.0,194159120569.0,2018-03-03T23:59:59.999Z,2018-03-03,58.555132816903466,81.62607289463864,69.31929918570036,17.256971173602945,25.543218429929322,18.87086875992333,10553.776902600544,9152.289285048251,9735.5048828125,10533.52978515625,9003.3798828125,10467.6298828125,211.5936124244672,177.79875444047218,33.79485798399502,10619.457240513393,8850.475712890626,11890.697469138364,0.0,8829.793741799136,0.0,10360.24560546875,0.868993830075655,29.5447023545803,0.21067602028911603,57.74988092468983,157786301680.0
11497.400390625,11512.599609375,11136.099609375,11512.599609375,6084149760.0,194567395376.0,2018-03-04T23:59:59.999Z,2018-03-04,58.705937126714936,82.52358215239171,76.65632605152433,17.09740523789228,24.687817006800366,18.238913627205825,10681.619930170471,9175.774959917175,10032.637451171875,10353.8798828125,9597.64501953125,10467.6298828125,266.90157907247885,186.48537687078706,80.41620220169179,10688.08579799107,8886.155561523437,11948.966959411171,0.0,9030.127181213827,0.0,10489.5470703125,0.8504997248236528,27.826175511984115,0.21557770755768962,65.2304770276699,163870451440.0
11532.400390625,11704.099609375,11443.900390625,11573.2998046875,6468539904.0,195614809925.0,2018-03-05T23:59:59.999Z,2018-03-05,59.13045231620941,84.90263810079708,83.01743104927569,17.197982440324388,25.877202841745113,17.795379246202597,10800.510580106074,9199.630928521854,10176.879760742188,10353.8798828125,9798.179931640625,10555.57958984375,312.0345989604084,185.2947174069733,126.73988155343511,10712.942940848214,8922.363610839844,11887.67598210247,0.0,9388.917181960029,0.0,10638.29658203125,0.8741870654354278,23.48833557021715,0.23039793137419307,64.93718083142117,170338991344.0
11500.099609375,11500.099609375,10694.2998046875,10779.900390625,6832169984.0,182225316082.0,2018-03-06T23:59:59.999Z,2018-03-06,51.65549649749875,59.76564609090588,75.73062211469811,16.044475713641553,23.77392439700796,23.280377347006915,10797.762554841931,9215.355002771636,10262.260009765625,10280.02978515625,9921.60498046875,10602.9150390625,280.54815588231577,123.04661946310452,157.50153641921125,10668.385811941964,8955.460012207031,11836.952150095425,0.0,9568.168064748326,0.0,10702.560107421876,0.5340888688803069,21.198517575003116,0.14694947616416157,56.611216112798935,163506821360.0
10803.900390625,10929.5,9692.1201171875,9965.5703125,8797910016.0,168479670395.0,2018-03-07T23:59:59.999Z,2018-03-07,45.322559840558796,24.314366867346692,56.32755035301642,16.086482077398404,21.165881873158305,29.611455402396764,10686.80358919634,9222.819831724157,10321.454956054688,10246.8798828125,9944.800048828125,10698.10986328125,187.72135628828437,24.175855895258508,163.54550039302586,10616.612234933036,8984.319362792969,11849.056247718756,0.0,9535.980959312496,0.0,10692.518603515626,0.18572216621772705,21.632651521838245,0.06451040108400696,57.279962673167915,154708911344.0
9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,7186089984.0,158852238332.0,2018-03-08T23:59:59.999Z,2018-03-08,41.484915214259914,2.49720935545286,28.85907410456835,16.4993318771055,19.64384020711184,30.638842265322303,10514.564412720163,9224.533164399787,10232.392456054688,9945.6796875,9944.800048828125,10519.98486328125,67.33973057315052,-76.96461585590029,144.3043464290508,10573.04150390625,9010.856112060546,11925.40019825052,0.0,9375.74794628073,0.0,10650.574072265625,0.007554684890611754,23.93910633051369,-0.006966006970056094,58.04239003568732,147522821360.0
9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,8704190464.0,157898203939.0,2018-03-09T23:59:59.999Z,2018-03-09,41.10741365490338,25.83834584740433,17.549974023401166,17.63649800286621,18.00581245496882,35.28131757599182,10357.629131649142,9225.657708084242,10079.265014648438,9575.6298828125,10049.965087890625,10108.56494140625,-32.327462874725825,-141.3054474430213,108.9779845682955,10504.216517857143,9037.535161132813,11938.68419238956,0.0,9184.94891307919,0.0,10561.816552734375,0.0554159627306393,26.072553575998718,-0.01914629088196069,58.01380660975009,138818630896.0
9350.58984375,9531.3203125,8828.4697265625,8866.0,5386319872.0,149939797150.0,2018-03-10T23:59:59.999Z,2018-03-10,38.04754940853926,11.061173838731445,13.132243013862748,18.585038714564956,17.46173310741373,33.090493997968196,10158.745247429257,9222.079024421711,10157.760009765625,9575.6298828125,10206.955078125,10108.56494140625,-147.6623998488467,-205.31230753371375,57.64990768486706,10436.568638392857,9061.362561035156,12040.371396887625,0.0,8914.681728112373,1.0,10477.5265625,-0.01557471574951591,29.832323975797625,-0.019067491434388278,59.16067305614081,133432311024.0
8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,6296370176.0,162009710243.0,2018-03-11T23:59:59.999Z,2018-03-11,44.741771374445705,33.39318257282363,23.430900752986343,19.663180382874298,15.800859158550065,31.84879756225661,10081.396532147024,9225.626794156944,10172.1650390625,9575.6298828125,10235.76513671875,10108.56494140625,-179.49379970565133,-189.7149659124147,10.221166206763385,10430.41859654018,9088.498110351562,11965.269128850465,0.0,8825.117003962034,0.0,10395.19306640625,0.23996062893839526,30.2077326012957,-0.03222208380383755,64.67645326282488,139728681200.0
9602.9296875,9937.5,8956.4296875,9205.1201171875,6457399808.0,155710928717.0,2018-03-12T23:59:59.999Z,2018-03-12,42.16980198738309,21.688336130956298,22.047564180837,20.26276342171473,16.400806293226456,29.193301459848662,9964.559676819088,9225.422747619934,10172.1650390625,9575.6298828125,10235.76513671875,10108.56494140625,-232.1830680797193,-193.92338742918616,-38.259680650533156,10347.44859095982,9112.850310058593,11865.339597828153,0.0,8705.188527171847,0.0,10285.2640625,0.15819863634298528,30.725035851808553,-0.01867640313810814,64.21465418485263,133271281392.0
